doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/2020.08.05.237768,biorxiv,1,genetics,year1,2020-08-05,"Institute of Biomedicine and Biotechnology of Cantabria (IBBTEC), CSIC/Universidad de Cantabria, Albert Einstein 22, 39011 Santander, Spain",120,1511,10,17.0
10.1101/2020.08.06.20169771,medrxiv,1,infectious diseases,year1,2020-08-07,"University of California Santa Barbara, Department of Molecular, Cellular, and Developmental  Biology, Neuroscience Research Institute, University of California",146,1059,21,3.0
10.1101/2020.08.06.239723,biorxiv,1,molecular biology,NP,2020-08-06,Massachusetts Institute of Technology,58,1180,10,
10.1101/2020.08.06.239822,biorxiv,1,microbiology,year2,2020-08-07,Imperial College London,75,1385,8,2.0
10.1101/2020.08.06.240218,biorxiv,1,microbiology,year1,2020-08-06,"Philips Institute for Oral Health Research, Virginia Commonwealth University School of Dentistry, Richmond, Virginia, USA",123,2421,5,7.0
10.1101/2020.08.06.240358,biorxiv,1,molecular biology,year1,2020-08-06,Cold Spring Harbor Laboratory,116,1030,13,6.0
10.1101/2020.08.07.240226,biorxiv,1,synthetic biology,year1,2020-08-07,Imperial College London,76,1142,7,5.0
10.1101/2020.08.07.241125,biorxiv,1,microbiology,year1,2020-08-07,Wellcome Sanger Institute,126,2863,9,9.0
10.1101/2020.08.09.242982,biorxiv,1,bioengineering,year1,2020-08-10,UCSD,82,911,8,7.0
10.1101/2020.08.09.243105,biorxiv,1,microbiology,year1,2020-08-10,Tufts University,112,2542,3,3.0
10.1101/2020.08.10.243329,biorxiv,1,microbiology,NP,2020-08-10,Vitalant Research Institute / UCSF,132,1049,10,
10.1101/2020.08.10.244244,biorxiv,1,genetics,NP,2020-08-10,University of Oxford,73,1573,11,
10.1101/2020.08.11.245787,biorxiv,1,cancer biology,year1,2020-08-12,University of Pennsylvania,123,2294,9,53.0
10.1101/2020.08.11.246363,biorxiv,1,neuroscience,NP,2020-08-13,University College London,131,1279,7,
10.1101/2020.08.11.246611,biorxiv,1,genetics,year1,2020-08-11,Cornell University,58,1751,6,2.0
10.1101/2020.08.12.248252,biorxiv,1,immunology,year2,2020-08-12,Michigan State University,122,1996,9,3.0
10.1101/2020.08.12.248559,biorxiv,1,cancer biology,year1,2020-08-12,University of Lausanne,126,986,2,1.0
10.1101/2020.08.13.243303,biorxiv,1,microbiology,year1,2020-08-14,"MRC-Laboratory of Molecular Biology, Cambridge, UK",99,1224,12,112.0
10.1101/2020.08.13.247007,biorxiv,1,bioinformatics,NP,2020-08-14,Flatiron Institute,83,811,7,
10.1101/2020.08.13.250092,biorxiv,1,genomics,year2,2020-08-14,Carnegie Mellon University,100,1138,2,4.0
10.1101/2020.08.14.251173,biorxiv,1,genetics,year1,2020-08-14,University of Geneva,73,1728,3,0.0
10.1101/2020.08.14.251744,biorxiv,1,developmental biology,year1,2020-08-14,University of California San Diego,83,1156,9,1.0
10.1101/2020.08.16.252940,biorxiv,1,cancer biology,NP,2020-08-17,University of Rochester,147,1379,26,
10.1101/2020.08.16.253203,biorxiv,1,plant biology,NP,2020-08-16,University of Georgia,145,1511,29,
10.1101/2020.08.17.253559,biorxiv,1,cell biology,year1,2020-08-18,Albert-Ludwigs-Universitat Freiburg,198,2775,8,0.0
10.1101/2020.08.17.253898,biorxiv,1,synthetic biology,year2,2020-08-17,"BrisSynBio Bristol Synthetic Biology Centre, University of Bristol, Bristol, UK",77,1088,8,10.0
10.1101/2020.08.19.257469,biorxiv,1,pharmacology and toxicology,year1,2020-08-20,University of Nottingham,94,1112,3,1.0
10.1101/2020.08.19.258079,biorxiv,1,biochemistry,NP,2020-08-20,"Department of Chemistry, Imperial College London",128,1337,2,
10.1101/2020.08.20.259762,biorxiv,1,genomics,year2,2020-08-21,New York Genome Center and NYU,85,1371,5,8.0
10.1101/2020.08.21.239954,biorxiv,1,cancer biology,NP,2020-08-22,Stanford University,86,1064,5,
10.1101/2020.08.21.261560,biorxiv,1,cell biology,year1,2020-08-21,Duke University,113,2382,3,2.0
10.1101/2020.08.21.261610,biorxiv,1,genetics,NP,2020-08-23,UCSD,84,968,5,
10.1101/2020.08.21.262063,biorxiv,1,microbiology,year2,2020-08-21,"Department of Earth and Planetary Science, University of California, Berkeley, CA, USA",112,1709,9,8.0
10.1101/2020.08.22.262527,biorxiv,1,neuroscience,year1,2020-08-22,Princeton University,72,1518,3,9.0
10.1101/2020.08.22.262576,biorxiv,1,synthetic biology,NP,2020-08-22,"Alt. Technology Labs Inc.; Media Laboratory, Massachusetts Institute of Technology",101,904,9,
10.1101/2020.08.23.263236,biorxiv,1,neuroscience,year1,2020-08-23,"The Hebrew University of Jerusalem, The Ohio State University",65,1196,8,6.0
10.1101/2020.08.23.263780,biorxiv,1,cell biology,year1,2020-08-24,The University of British Columbia,148,1785,3,0.0
10.1101/2020.08.23.263905,biorxiv,1,plant biology,NP,2020-08-24,"University of California, Davis",149,1079,7,
10.1101/2020.08.24.253245,biorxiv,1,bioinformatics,year1,2020-08-24,Frederick National Lab for Cancer Research,100,1390,5,4.0
10.1101/2020.08.24.256842,biorxiv,1,microbiology,year1,2020-08-24,Glasgow University,113,3345,6,3.0
10.1101/2020.08.24.261875,biorxiv,1,biochemistry,year1,2020-08-24,Indiana University School of Medicine,95,1312,12,5.0
10.1101/2020.08.24.264762,biorxiv,1,developmental biology,year2,2020-08-24,Institut biologii gena Rossijskoj akademii nauk,114,1918,8,0.0
10.1101/2020.08.24.265637,biorxiv,1,microbiology,year1,2020-08-25,Universidad de Costa Rica,109,1670,9,2.0
10.1101/2020.08.25.265306,biorxiv,1,cell biology,year1,2020-08-25,Memorial Sloan Kettering Cancer Center,117,1240,2,4.0
10.1101/2020.08.25.266239,biorxiv,1,genomics,year2,2020-08-25,Cardiff University,83,1044,6,7.0
10.1101/2020.08.25.266775,biorxiv,1,microbiology,year1,2020-08-25,Fudan University Shanghai Medical College,93,994,18,72.0
10.1101/2020.08.25.266866,biorxiv,1,genetics,year1,2020-08-25,CONICET,149,3066,4,2.0
10.1101/2020.08.25.266932,biorxiv,1,developmental biology,NP,2020-08-26,University of Guelph,77,1332,5,
10.1101/2020.08.25.267237,biorxiv,1,biochemistry,year2,2020-08-26,"New York University School of Medicine, Howard Hughes Medical Institute",130,1297,9,13.0
10.1101/2020.08.26.267179,biorxiv,1,synthetic biology,year1,2020-08-26,"University of California, San Diego",67,1898,12,4.0
10.1101/2020.08.26.267948,biorxiv,1,genetics,NP,2020-08-27,"Institution of zoology, chinese academy of science",110,1061,7,
10.1101/2020.08.27.266155,biorxiv,1,genetics,year1,2020-08-27,"The Roslin Institute and Royal (Dick) School of Veterinary Studies, University of Edinburgh",88,1130,6,6.0
10.1101/2020.08.27.269522,biorxiv,1,genetics,year2,2020-08-27,Korea Institute of Science and Technology,127,1291,14,6.0
10.1101/2020.08.27.270520,biorxiv,1,cancer biology,NP,2020-08-28,"Stanley Center for Psychiatric Research, Broad Institute of MIT and Harvard, Cambridge, MA, USA; Department of Surgery, Massachusetts General Hospital, Boston, ",89,805,7,
10.1101/2020.08.27.270611,biorxiv,1,evolutionary biology,year1,2020-08-27,Washington State University,46,1849,3,6.0
10.1101/2020.08.27.270819,biorxiv,1,genetics,NP,2020-08-28,"Brigham and Women's Hospital, Harvard Medical School",109,1132,20,
10.1101/2020.08.28.271965,biorxiv,1,biochemistry,NP,2020-08-30,New York University,73,2530,4,
10.1101/2020.08.29.273607,biorxiv,1,systems biology,NP,2020-08-31,Harvard University,78,1816,3,
10.1101/2020.08.30.274290,biorxiv,1,synthetic biology,year2,2020-08-30,Duke University,109,1291,7,6.0
10.1101/2020.08.31.272856,biorxiv,1,genetics,NP,2020-08-31,"Division of Hematology/Oncology, Boston Children's Hospital, Department of Pediatric Oncology, Dana-Farber Cancer Institute, Harvard Stem Cell Institute, Broad ",61,1452,11,
10.1101/2020.08.31.273730,biorxiv,1,systems biology,year1,2020-08-31,University of Minnesota,79,561,12,0.0
10.1101/2020.08.31.274324,biorxiv,1,molecular biology,year1,2020-08-31,Children's Hospital of Philadelphia,88,1333,20,1.0
10.1101/2020.08.31.275107,biorxiv,1,cancer biology,year1,2020-08-31,Morgridge Institute for Research; Univ. Wisconsin-Madison,88,1127,7,19.0
10.1101/2020.08.31.275297,biorxiv,1,genomics,year1,2020-08-31,University of Massachusetts Amherst,112,2832,5,4.0
10.1101/2020.08.31.275867,biorxiv,1,cell biology,year2,2020-09-01,Seattle Children's Research Institute,114,1227,14,5.0
10.1101/2020.09.01.267211,biorxiv,1,genomics,year1,2020-09-01,"Columbia Center for Translational Immunology, New York, NY and Columbia University Medical Center, Division of Hematology and Oncology, New York, NY and Program",110,2010,20,23.0
10.1101/2020.09.01.278044,biorxiv,1,microbiology,year1,2020-09-01,Scripps Research,74,2743,3,4.0
10.1101/2020.09.01.278093,biorxiv,1,genetics,NP,2020-09-03,"Broad Institute of Harvard and MIT, Cambridge, MA; Department of Genetics, Stanford University School of Medicine, Stanford, CA; BASE Initiative, Betty Irene Mo",78,1604,30,
10.1101/2020.09.02.279141,biorxiv,1,bioengineering,NP,2020-09-02,Technical University of Denmark,109,1598,5,
10.1101/2020.09.02.279679,biorxiv,1,cell biology,year1,2020-09-02,Duke University,104,2879,5,1.0
10.1101/2020.09.02.279885,biorxiv,1,evolutionary biology,year1,2020-09-03,"Department of Molecular Engineering, Corteva Agriscience",46,1080,5,1.0
10.1101/2020.09.03.280990,biorxiv,1,genomics,year1,2020-09-04,"European Molecular Biology Laboratory (EMBL), Genome Biology Unit, 69117, Heidelberg, Germany.",88,1622,6,1.0
10.1101/2020.09.03.281014,biorxiv,1,plant biology,NP,2020-09-03,"Institute of Genetics and Developmental Biology, CAS",133,1394,8,
10.1101/2020.09.03.282079,biorxiv,1,genetics,year1,2020-09-03,University of California San Diego,55,1169,7,24.0
10.1101/2020.09.04.280388,biorxiv,1,biochemistry,year2+,2020-09-04,University of Cambridge,135,1014,11,0.0
10.1101/2020.09.04.282434,biorxiv,1,neuroscience,year1,2020-09-04,The Rockefeller University,62,1565,7,6.0
10.1101/2020.09.04.282665,biorxiv,1,genomics,year2,2020-09-04,National Institute of Genetics,80,1812,8,3.0
10.1101/2020.09.04.283424,biorxiv,1,neuroscience,year1,2020-09-04,https://lamp.vanderbilt.edu/zwiebellab/Home.html,120,1563,5,9.0
10.1101/2020.09.04.283648,biorxiv,1,cancer biology,NP,2020-09-04,Massachusetts General Hospital,84,1516,35,
10.1101/2020.09.05.284125,biorxiv,1,cell biology,year1,2020-09-05,Institute of Liver and Biliary Sciences,173,2365,5,0.0
10.1101/2020.09.06.274720,biorxiv,1,immunology,year1,2020-09-07,University of Tasmania,106,1759,8,6.0
10.1101/2020.09.06.284786,biorxiv,1,microbiology,year1,2020-09-06,National Center for Genetic Engineering and Biotechnology,114,1744,8,5.0
10.1101/2020.09.07.285536,biorxiv,1,genetics,NP,2020-09-07,Francis Crick Institute,101,991,7,
10.1101/2020.09.07.285577,biorxiv,1,developmental biology,year2,2020-09-08,University of Bergen,116,1390,3,4.0
10.1101/2020.09.07.285759,biorxiv,1,molecular biology,year1,2020-09-07,Rice University,124,3213,9,10.0
10.1101/2020.09.07.286187,biorxiv,1,cell biology,NP,2020-09-07,University of Georgia,84,801,2,
10.1101/2020.09.08.287565,biorxiv,1,cancer biology,year1,2020-09-09,Novartis Institute for Biomedical Research,138,1332,17,2.0
10.1101/2020.09.08.288043,biorxiv,1,neuroscience,year1,2020-09-09,"Department of Neuroinflammation, University College London, Queen Square Institute of Neurology, 1 Wakefield Street, London WC1N 1PJ, UK",134,1195,8,14.0
10.1101/2020.09.08.288233,biorxiv,1,synthetic biology,year2,2020-09-09,University of California San Diego,139,1383,6,5.0
10.1101/2020.09.09.289009,biorxiv,1,cell biology,year2+,2020-09-10,University of Padova,98,951,12,2.0
10.1101/2020.09.10.289090,biorxiv,1,developmental biology,year2,2020-09-10,Hubrecht Institute,79,1189,8,4.0
10.1101/2020.09.10.289991,biorxiv,1,molecular biology,year1,2020-09-10,Emory University School of Medicine,99,1801,14,3.0
10.1101/2020.09.10.292193,biorxiv,1,cancer biology,NP,2020-09-10,Cold Spring Harbor Laboratory,93,1550,19,
10.1101/2020.09.11.291534,biorxiv,1,cancer biology,NP,2020-09-11,University of Texas Health Science Center at San Antonio,73,1488,27,
10.1101/2020.09.11.291716,biorxiv,1,microbiology,year1,2020-09-11,"Laura and Isaac Perlmutter Cancer Center, New York University Grossman School of Medicine, NYU Langone Health",119,1845,18,61.0
10.1101/2020.09.11.294181,biorxiv,1,developmental biology,NP,2020-09-11,University of Kansas Medical Center,102,1449,9,
10.1101/2020.09.12.294629,biorxiv,1,developmental biology,NP,2020-09-12,Baylor College of Medicine,54,1826,11,
10.1101/2020.09.13.295121,biorxiv,1,plant biology,year1,2020-09-13,University of Hyderabad,115,1631,12,3.0
10.1101/2020.09.14.296137,biorxiv,1,neuroscience,year1,2020-09-15,Institute of Science and Technology Austria and MRC Laboratory of Molecular Biology,76,1348,3,2.0
10.1101/2020.09.14.297275,biorxiv,1,cell biology,NP,2020-09-15,Hanyang University,126,900,10,
10.1101/2020.09.15.297663,biorxiv,1,genomics,year1,2020-09-15,Ghent University Global Campus,151,2164,6,3.0
10.1101/2020.09.15.298547,biorxiv,1,immunology,year1,2020-09-15,"The University of Texas, MD Anderson Cancer Center",83,1142,33,8.0
10.1101/2020.09.15.299016,biorxiv,1,microbiology,year1,2020-09-16,Northeastern University,113,2164,10,5.0
10.1101/2020.09.16.299248,biorxiv,1,bioengineering,NP,2020-09-16,RIKEN,93,1207,11,
10.1101/2020.09.16.300285,biorxiv,1,plant biology,year1,2020-09-18,"Institut de biologie moléculaire des plantes, CNRS, University of Strasbourg",119,1681,11,7.0
10.1101/2020.09.17.301119,biorxiv,1,cell biology,year1,2020-09-18,"Cambridge Institute for Medical Research (CIMR), University of Cambridge, Cambridge Biomedical Campus, The Keith Peters Building, Cambridge CB2 0XY, United King",90,1654,4,4.0
10.1101/2020.09.17.301416,biorxiv,1,microbiology,year1,2020-09-17,European Molecular Biology Laboratory - Heidelberg,82,1145,6,5.0
10.1101/2020.09.17.302034,biorxiv,1,cancer biology,NP,2020-09-19,MD Anderson Cancer Center,119,1859,24,
10.1101/2020.09.17.302448,biorxiv,1,biochemistry,NP,2020-09-19,Cleveland Clinic,80,1760,8,
10.1101/2020.09.18.302984,biorxiv,1,immunology,NP,2020-09-18,CNRS UMR 7276 - INSERM U 1262 - Limoges University,84,1613,8,
10.1101/2020.09.18.303040,biorxiv,1,developmental biology,year1,2020-09-19,"Division of Functional Genomics and Development, The Roslin Institute, Royal (Dick) School of Veterinary Studies, Easter Bush Campus, Midlothian EH25 9RG, UK",145,1526,10,23.0
10.1101/2020.09.18.304444,biorxiv,1,microbiology,NP,2020-09-19,The University of New South Wales,91,1460,6,
10.1101/2020.09.19.304717,biorxiv,1,genomics,year1,2020-09-19,University of Oxford,78,1479,2,7.0
10.1101/2020.09.19.304816,biorxiv,1,biophysics,year1,2020-09-19,Kent State University,50,1415,3,3.0
10.1101/2020.09.19.305003,biorxiv,1,neuroscience,year1,2020-09-20,Kunming Institute of Zoology,131,1024,16,7.0
10.1101/2020.09.20.300574,biorxiv,1,cell biology,year1,2020-09-21,Icahn School of Medicine at Mount Sinai,90,1151,23,17.0
10.1101/2020.09.21.305615,biorxiv,1,bioengineering,NP,2020-09-21,Osaka University,140,1709,5,
10.1101/2020.09.21.305904,biorxiv,1,genetics,year1,2020-09-21,University of British Columbia,54,2087,2,4.0
10.1101/2020.09.21.306100,biorxiv,1,genomics,NP,2020-09-22,Boyce Thompson Institute,59,1693,11,
10.1101/2020.09.21.307405,biorxiv,1,neuroscience,year1,2020-09-22,University of Melbourne,92,1493,5,0.0
10.1101/2020.09.22.20199786,medrxiv,1,oncology,NP,2020-09-23,"Bone Marrow Transplantation Center, The First Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, China",136,1199,19,
10.1101/2020.09.23.310839,biorxiv,1,plant biology,year1,2020-09-24,"State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing 100193, Ch",90,1365,10,25.0
10.1101/2020.09.24.20196097,medrxiv,1,genetic and genomic medicine,year1,2020-09-25,University Medical Center Hamburg-Eppendorf,115,2563,45,4.0
10.1101/2020.09.24.312298,biorxiv,1,microbiology,year1,2020-09-24,"Chan Zuckerberg Biohub, San Francisco, CA, 94158, USA",99,1219,12,124.0
10.1101/2020.09.24.312751,biorxiv,1,microbiology,year1,2020-09-25,Monash University,71,2226,2,2.0
10.1101/2020.09.25.310060,biorxiv,1,microbiology,year2,2020-09-25,University of Georgia,66,1569,3,2.0
10.1101/2020.09.25.313684,biorxiv,1,cancer biology,year1,2020-09-25,Purdue University,118,1755,8,0.0
10.1101/2020.09.25.313767,biorxiv,1,genomics,year1,2020-09-26,Cincinnati Children's Hospital Medical Center,81,868,8,7.0
10.1101/2020.09.25.314047,biorxiv,1,molecular biology,year1,2020-09-26,University of Alberta,73,698,4,13.0
10.1101/2020.09.25.314062,biorxiv,1,developmental biology,year1,2020-09-26,Universidad de la Republica,109,1560,2,1.0
10.1101/2020.09.27.314278,biorxiv,1,evolutionary biology,year1,2020-09-27,Florida Atlantic University,100,1893,9,6.0
10.1101/2020.09.27.316075,biorxiv,1,developmental biology,year1,2020-09-28,Nara Institute of Science and Technology,112,1338,6,3.0
10.1101/2020.09.28.20201947,medrxiv,1,infectious diseases,year1,2020-09-30,Gladstone Institutes,69,982,28,134.0
10.1101/2020.09.28.317578,biorxiv,1,microbiology,NP,2020-09-29,Fred Hutchinson Cancer Research Center,105,1084,7,
10.1101/2020.09.29.316661,biorxiv,1,genetics,year1,2020-09-29,Fudan University,104,932,13,5.0
10.1101/2020.09.29.318303,biorxiv,1,cancer biology,year1,2020-10-01,Amsterdam University Medical Centers,146,1735,8,3.0
10.1101/2020.09.29.318436,biorxiv,1,genomics,year1,2020-09-29,Weill Cornell Medicine,50,941,9,3.0
10.1101/2020.09.29.318501,biorxiv,1,microbiology,year2,2020-09-29,UCSF,67,1046,3,3.0
10.1101/2020.09.30.320119,biorxiv,1,bioinformatics,NP,2020-09-30,Dayananda Sagar University,94,743,2,
10.1101/2020.09.30.320226,biorxiv,1,genomics,NP,2020-09-30,Massey University,84,2224,5,
10.1101/2020.09.30.321075,biorxiv,1,microbiology,year2,2020-09-30,University of Southern California,82,1011,5,1.0
10.1101/2020.09.30.321323,biorxiv,1,genomics,NP,2020-10-01,University of Washington,91,558,12,
10.1101/2020.10.01.321612,biorxiv,1,molecular biology,NP,2020-10-01,Cornell University,85,1922,22,
10.1101/2020.10.01.321984,biorxiv,1,genetics,year1,2020-10-01,Bahir Dar University,86,1692,4,0.0
10.1101/2020.10.02.324301,biorxiv,1,cell biology,year1,2020-10-02,Vanderbilt University,123,1137,2,1.0
10.1101/2020.10.02.324319,biorxiv,1,bioinformatics,year1,2020-10-04,IFP Energies nouvelles,149,1730,8,0.0
10.1101/2020.10.03.324715,biorxiv,1,molecular biology,year1,2020-10-03,"Department of Biology, Southern University of Science and Technology, Shenzhen, Guangdong 518005, China",97,1100,17,3.0
10.1101/2020.10.03.324921,biorxiv,1,cancer biology,year1,2020-10-03,"Molecular Oncology Unit, CIEMAT, Madrid, Spain",121,1530,13,0.0
10.1101/2020.10.04.325019,biorxiv,1,developmental biology,NP,2020-10-04,Stanford University School of Medicine,107,1567,14,
10.1101/2020.10.04.325621,biorxiv,1,developmental biology,NP,2020-10-05,IBS-CGI,91,1098,20,
10.1101/2020.10.05.318519,biorxiv,1,genetics,NP,2020-10-05,Oklahoma Medical Research Foundation,78,1980,18,
10.1101/2020.10.05.325837,biorxiv,1,genetics,year1,2020-10-06,Hubrecht Institute,97,902,8,17.0
10.1101/2020.10.05.326868,biorxiv,1,microbiology,NP,2020-10-05,Swiss Tropical and Public Health Institute,158,1260,9,
10.1101/2020.10.05.327569,biorxiv,1,microbiology,NP,2020-10-06,Xiamen University,68,1563,2,
10.1101/2020.10.06.327445,biorxiv,1,microbiology,NP,2020-10-06,Stanford University,116,2064,16,
10.1101/2020.10.06.327841,biorxiv,1,molecular biology,NP,2020-10-06,"Instituto de Biologia Molecular y Celular de Plantas (IBMCP), Consejo Superior de Investigaciones Cientificas, Universidad Politecnica de Valencia",128,1446,12,
10.1101/2020.10.07.326462,biorxiv,1,microbiology,year1,2020-10-08,"Laura and Isaac Perlmutter Cancer Center, New York University Langone Health",82,1809,15,119.0
10.1101/2020.10.07.330464,biorxiv,1,microbiology,year1,2020-10-07,NIH,90,2881,8,15.0
10.1101/2020.10.07.330746,biorxiv,1,molecular biology,NP,2020-10-08,The University of Queensland,90,1622,5,
10.1101/2020.10.08.330241,biorxiv,1,microbiology,year1,2020-10-08,Pennsylvania State University,106,1947,9,2.0
10.1101/2020.10.08.332023,biorxiv,1,genetics,NP,2020-10-08,"Department of Bioinformatics and Computational Biology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA",95,1453,12,
10.1101/2020.10.08.332478,biorxiv,1,biochemistry,NP,2020-10-09,"Qingdao Institute of BioEnergy and Bioprocess Technology, Chinese Academy of Sciences",98,1558,9,
10.1101/2020.10.08.332510,biorxiv,1,genomics,NP,2020-10-09,"University of California, San Diego",107,1393,9,
10.1101/2020.10.09.333203,biorxiv,1,biophysics,year1,2020-10-09,Karlsruhe Institute of Technology,112,877,6,4.0
10.1101/2020.10.09.333633,biorxiv,1,neuroscience,NP,2020-10-10,Harvard,79,1137,3,
10.1101/2020.10.09.333641,biorxiv,1,molecular biology,year1,2020-10-10,The Rockefeller University,103,1342,5,1.0
10.1101/2020.10.09.333658,biorxiv,1,microbiology,NP,2020-10-09,Rockefeller University,91,983,7,
10.1101/2020.10.09.334060,biorxiv,1,biochemistry,year1,2020-10-10,"University at Albany, SUNY",83,1113,5,1.0
10.1101/2020.10.09.334128,biorxiv,1,molecular biology,year1,2020-10-10,The Rockefeller University,39,1543,14,45.0
10.1101/2020.10.12.335471,biorxiv,1,microbiology,year1,2020-10-12,Stanford University,102,2519,8,3.0
10.1101/2020.10.12.335968,biorxiv,1,microbiology,year1,2020-10-12,Inserm- CNRS-Lyon 1,131,1094,8,7.0
10.1101/2020.10.13.337261,biorxiv,1,cell biology,year1,2020-10-13,University of Florida,141,2568,6,4.0
10.1101/2020.10.13.337923,biorxiv,1,bioengineering,year2,2020-10-13,University of Massachusetts Medical School,80,1811,21,11.0
10.1101/2020.10.13.338012,biorxiv,1,microbiology,year1,2020-10-13,"Molecular Microbiology, Groningen Biomolecular Sciences and Biotechnology Institute, University of Groningen, Nijenborgh 7, 9747 AG, Groningen, The Netherlands",82,1599,6,2.0
10.1101/2020.10.13.338319,biorxiv,1,developmental biology,year1,2020-10-13,Stanford University,111,1042,9,15.0
10.1101/2020.10.14.20212670,medrxiv,1,public and global health,year1,2020-10-20,Montana State University,107,592,12,17.0
10.1101/2020.10.14.20212795,medrxiv,1,infectious diseases,year2,2020-10-20,UCSD,75,1451,13,13.0
10.1101/2020.10.14.338020,biorxiv,1,molecular biology,NP,2020-10-14,Sandia National Laboratories,137,1180,7,
10.1101/2020.10.14.340174,biorxiv,1,developmental biology,year1,2020-10-15,Nankai University,128,1117,11,4.0
10.1101/2020.10.15.339838,biorxiv,1,biochemistry,year1,2020-10-15,"State University of New York, Buffalo, NY, USA",87,1126,9,55.0
10.1101/2020.10.15.340513,biorxiv,1,genetics,year1,2020-10-15,Baylor College of Medicine,84,1343,4,0.0
10.1101/2020.10.15.340927,biorxiv,1,cell biology,year1,2020-10-15,University of Massachusetts,125,1085,5,3.0
10.1101/2020.10.16.333054,biorxiv,1,immunology,year1,2020-10-16,Helmholtz Zentrum Muenchen,139,2390,6,5.0
10.1101/2020.10.16.334714,biorxiv,1,cancer biology,year1,2020-10-17,"Basic Sciences Division, Fred Hutchinson Cancer Research Center",84,976,17,7.0
10.1101/2020.10.16.339374,biorxiv,1,cancer biology,year2,2020-10-17,"Broad Institute of Harvard and MIT, Cambridge, MA, USA; Department of Pediatric Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA",111,1280,29,7.0
10.1101/2020.10.16.342485,biorxiv,1,developmental biology,year1,2020-10-17,"Department of Medical Biology, Hacettepe University Faculty of Medicine, Ankara, 06100, Turkey.",102,963,12,4.0
10.1101/2020.10.16.343376,biorxiv,1,bioinformatics,year1,2020-10-17,"University of California, Berkeley",111,2134,6,5.0
10.1101/2020.10.17.343996,biorxiv,1,bioengineering,year1,2020-10-17,National Autonomous University of Mexico,79,1171,3,9.0
10.1101/2020.10.18.333070,biorxiv,1,cancer biology,NP,2020-10-18,Yale University School of Medicine,170,2558,7,
10.1101/2020.10.18.344481,biorxiv,1,biochemistry,year1,2020-10-19,UC Berkeley/HHMI,112,994,6,3.0
10.1101/2020.10.19.344077,biorxiv,1,molecular biology,year1,2020-10-19,UC Berkeley,97,1004,11,11.0
10.1101/2020.10.19.345256,biorxiv,1,genetics,year2,2020-10-19,University of California Davis,107,2280,6,2.0
10.1101/2020.10.19.345611,biorxiv,1,molecular biology,year1,2020-10-19,University of Iowa,74,1026,5,1.0
10.1101/2020.10.19.346122,biorxiv,1,developmental biology,year1,2020-10-19,"University of Otago, Department of Pathology, Otago Medical School, Dunedin, New Zealand",116,1614,3,3.0
10.1101/2020.10.19.346502,biorxiv,1,microbiology,year1,2020-10-20,University of Nebraska Medical Center,109,2933,5,4.0
10.1101/2020.10.20.335216,biorxiv,1,cancer biology,NP,2020-10-21,Jackson Laboratory for Genomic Medicine,144,1070,10,
10.1101/2020.10.21.348862,biorxiv,1,genetics,NP,2020-10-21,Yunnan Key Laboratory of Primate Biomedical Research,76,1675,9,
10.1101/2020.10.21.349704,biorxiv,1,genetics,year1,2020-10-22,University of California San Diego,127,1784,7,1.0
10.1101/2020.10.22.350991,biorxiv,1,microbiology,NP,2020-10-22,University of Guelph,102,2402,8,
10.1101/2020.10.22.351361,biorxiv,1,cell biology,year1,2020-10-22,Whitehead Institute for Biomedical Research,110,1484,8,22.0
10.1101/2020.10.22.351445,biorxiv,1,bioengineering,year1,2020-10-23,"University of California, Davis",72,1482,2,1.0
10.1101/2020.10.23.349621,biorxiv,1,genomics,NP,2020-10-23,Stanford University,174,1492,11,
10.1101/2020.10.23.352070,biorxiv,1,cancer biology,year1,2020-10-23,Cold Spring Harbor Laboratory,108,1130,16,4.0
10.1101/2020.10.23.352351,biorxiv,1,genomics,year2,2020-10-25,Dana-Farber Cancer Institute,94,1384,11,14.0
10.1101/2020.10.24.353276,biorxiv,1,plant biology,NP,2020-10-24,Institute of Experimental Botany of the Czech Academy of Sciences,140,2586,14,
10.1101/2020.10.26.354720,biorxiv,1,microbiology,year1,2020-10-26,"Archaeal Virus-Host Interactions, Faculty of Biology, University of Freiburg, Schaenzlestrasse 1, 79104, Freiburg, Germany",98,1242,7,3.0
10.1101/2020.10.26.355123,biorxiv,1,neuroscience,year1,2020-10-26,"Harvard Medical School, Howard Hughes Medical Institute",89,1117,12,11.0
10.1101/2020.10.26.356097,biorxiv,1,plant biology,NP,2020-10-27,Second Military Medical University,64,1028,9,
10.1101/2020.10.26.356279,biorxiv,1,pharmacology and toxicology,NP,2020-10-27,"Shanghai Institute of Biochemistry and Cell Biology, Chinese Academy of Sciences",85,1117,18,
10.1101/2020.10.27.354092,biorxiv,1,bioinformatics,NP,2020-10-27,University of Lagos,59,1330,11,
10.1101/2020.10.27.356824,biorxiv,1,genetics,year1,2020-10-27,The University of North Carolina at Chapel Hill,145,2106,4,4.0
10.1101/2020.10.27.357269,biorxiv,1,cancer biology,NP,2020-10-27,Columbia University,114,1151,22,
